name,street,address1,address2,city,latitude,longitude
The Tasty Bistro,Main Street,123,Suite 101,New York,40.7128,-74.0060
Casa del Gusto,Hollywood Boulevard,456,Floor 2,Los Angeles,34.0522,-118.2437
Le Petit Café,Baker Street,789,Suite 3,London,51.5074,-0.1278
La Belle Cuisine,Rue de la Paix,321,Apartment 5,Paris,48.8566,2.3522
Golden Eats,Market Street,987,Floor 10,San Francisco,37.7749,-122.4194
Die Genusswelt,Unter den Linden,654,Apartment 8,Berlin,52.5200,13.4050
The Savory Spot,High Street,234,Suite 7,Sydney,-33.8688,151.2093
Flavorsome Delights,Paseo de Gracia,567,Apartment 12,Barcelona,41.3851,2.1734
Ristorante Italia,Via Montenapoleone,890,Floor 4,Milan,45.4642,9.1900
Sushi Supreme,Akihabara,876,Building 9,Tokyo,35.6895,139.6917
The Hungry Pig,Carnaby Street,543,Unit 2,London,51.5136,-0.1389
Delizioso Ristorante,Via dei Condotti,432,Floor 3,Rome,41.9028,12.4964
Munchies Galore,King Street,321,Suite 9,Toronto,43.6532,-79.3832
Spice Fusion,Orchard Road,456,Floor 5,Singapore,1.3521,103.8198
Burger Joint,Elm Street,789,Apartment 4,Chicago,41.8781,-87.6298
Sabor Latino,Calle Ocho,543,Unit 3,Miami,25.7617,-80.1918
Taste of India,Brigade Road,987,Floor 7,Bangalore,12.9716,77.5946
Sizzling Steakhouse,Broadway,654,Apartment 6,New York,40.7128,-74.0060
Gourmet Grill,Gran Via,234,Suite 11,Madrid,40.4168,-3.7038
Flavours of Thailand,Sukhumvit Road,567,Apartment 15,Bangkok,13.7563,100.5018
The Sizzling Wok,Magnificent Mile,876,Floor 8,Chicago,41.8781,-87.6298
La Dolce Vita,Viale dei Romani,321,
The Cozy Corner,Champs-Élysées,432,Floor 6,Paris,48.8566,2.3522
Tasty Tacos,Mexican Avenue,789,Apartment 2,Los Angeles,34.0522,-118.2437
Café au Lait,Leopoldplatz,876,Floor 3,Berlin,52.5200,13.4050
The Steakhouse,High Street,543,Suite 4,Sydney,-33.8688,151.2093
Taste of Thailand,Sukhumvit Road,432,Unit 5,Bangkok,13.7563,100.5018
Flaming Grill,Grill Street,654,Apartment 6,Chicago,41.8781,-87.6298
La Pâtisserie,Gourmet Road,234,Floor 9,Paris,48.8566,2.3522
Ocean Delights,Coastal Avenue,567,Apartment 3,San Francisco,37.7749,-122.4194
Casa Italiana,Via Roma,890,Floor 2,Rome,41.9028,12.4964
The Spice Route,Spice Market Lane,321,Suite 7,Singapore,1.3521,103.8198
Sushi Delight,Sushi Street,987,Unit 1,Tokyo,35.6895,139.6917
The Green Garden,Park Avenue,456,Apartment 5,New York,40.7128,-74.0060
El Rincon Mexicano,Mexican Street,789,Floor 6,Mexico City,19.4326,-99.1332
Flavors of France,Rue de Provence,543,Suite 3,Paris,48.8566,2.3522
The Curry House,Spice Lane,234,Floor 1,London,51.5074,-0.1278
Bella Italia,Via Venezia,567,Apartment 4,Rome,41.9028,12.4964
Casa Italiana,Via Roma,890,Floor 2,Rome,41.9028,12.4964
Taco Fiesta,Taco Street,876,Unit 2,Mexico City,19.4326,-99.1332
Sizzling Sizzlers,Grill Road,321,Suite 8,Mumbai,19.0760,72.8777
The Noodle Bar,Noodle Street,654,Apartment 10,New York,40.7128,-74.0060
The Oriental Palace,Silk Road,432,Floor 5,Beijing,39.9042,116.4074
Flavors of India,Indian Street,789,Unit 3,Mumbai,19.0760,72.8777
Mamma Mia,Piazza Navona,987,Floor 4,Rome,41.9028,12.4964
The Fisherman's Catch,Harbor Road,234,Apartment 6,Sydney,-33.8688,151.2093
Chez Jacques,Rue de Paris,567,Suite 2,Paris,48.8566,2.3522
Burger Blitz,Burger Street,876,Floor 7,Los Angeles,34.0522,-118.2437
Taste of Spain,Calle Mayor,321,Unit 9,Madrid,40.4168,-3.7038
The Sizzling Grill,Grill Avenue,654,Apartment 12,San Francisco,37.7749,-122.4194
The Oriental Palace,Silk Road,432,Floor 5,Beijing,39.9042,116.4074
The Veggie Patch,Green Avenue,789,Apartment 8,London,51.5074,-0.1278
Taste of Mexico,Calle de la Rosa,876,Suite 3,Mexico City,19.4326,-99.1332
Savory Spices,Spice Street,543,Unit 7,Bangkok,13.7563,100.5018
The Pizza Joint,Pepperoni Lane,234,Floor 3,New York,40.7128,-74.0060
Le Café Français,Rue du Croissant,567,Apartment 5,Paris,48.8566,2.3522
Flavors of China,Beijing Road,321,Unit 10,Shanghai,31.2304,121.4737
Bella Napoli,Via Napoli,654,Suite 4,Rome,41.9028,12.4964
The Grill House,Steakhouse Avenue,987,Apartment 9,San Francisco,37.7749,-122.4194
Tasty Thai Cuisine,Sukhothai Road,432,Floor 2,Bangkok,13.7563,100.5018
Casa de Tapas,Calle de Tapas,789,Suite 6,Madrid,40.4168,-3.7038
The Spice Market,Spice Bazaar Street,876,Unit 1,Istanbul,41.0082,28.9784
Bistro Italia,Piazza Italia,543,Apartment 3,Florence,43.7696,11.2558
Flavors of Japan,Shibuya Street,234,Floor 7,Tokyo,35.6895,139.6917
The Grill Spot,Steakhouse Lane,567,Suite 2,Chicago,41.8781,-87.6298
Café del Sol,Plaza del Sol,321,Unit 4,Madrid,40.4168,-3.7038
The Seafood Shack,Harbor Road,654,Apartment 6,Miami,25.7617,-80.1918
Spice Fusion,Spice Market Lane,987,Floor 8,Istanbul,41.0082,28.9784
Taste of Greece,Greek Street,432,Suite 5,Athens,37.9838,23.7275
The Fresh Catch,Seafood Avenue,789,Apartment 1,Sydney,-33.8688,151.2093
Flavors of Italy,Via Toscana,876,Floor 4,Florence,43.7696,11.2558
Burger Bonanza,Burger Street,543,Unit 2,Los Angeles,34.0522,-118.2437
The Veggie Patch,Green Avenue,234,Apartment 7,London,51.5074,-0.1278
Sushi Master,Sushi Street,567,Suite 9,Tokyo,35.6895,139.6917
Casa del Sol,Sunset Boulevard,321,Floor 3,Los Angeles,34.0522,-118.2437
Taste of India,Chutney Lane,654,Unit 5,Delhi,28.7041



